# report_at,lat,lon,elev,dir,active,gps
2013-05-31 21:09:00,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:11:01,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:13:02,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:15:03,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:17:04,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:19:05,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:21:06,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:23:08,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:25:11,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:27:13,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:29:12,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:31:14,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:33:15,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:55:10,44.0349998,-92.4769974,952,155,0,1
2013-05-31 21:57:12,44.0349998,-92.4769974,952,155,0,1
2013-05-31 21:59:13,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:01:14,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:03:15,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:05:16,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:07:17,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:09:18,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:11:19,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:13:20,44.0349998,-92.4769974,952,155,0,1
2013-05-31 22:15:21,44.0349998,-92.4779968,904,320,0,1
2013-05-31 22:17:22,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:19:23,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:21:24,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:23:26,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:25:27,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:27:28,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:29:32,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:31:31,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:33:32,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:35:38,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:37:39,44.0349998,-92.4769974,887,320,0,1
2013-05-31 22:42:15,44.0349998,-92.4769974,0,0,0,0
2013-05-31 22:44:16,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:46:17,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:48:18,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:50:19,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:52:20,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:54:21,44.0349998,-92.4769974,935,165,0,1
2013-05-31 22:58:06,44.0349998,-92.4769974,935,165,0,1
2013-05-31 23:11:56,44.0330009,-92.4779968,0,0,0,0
2013-05-31 23:17:53,44.0349998,-92.4769974,925,44,0,1
2013-05-31 23:20:03,44.0349998,-92.4769974,925,44,0,1
2013-06-01 00:02:52,43.9840012,-91.8970032,1066,358,0,1
2013-06-01 00:04:53,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:07:05,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:09:06,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:11:23,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:13:24,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:15:26,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:17:28,43.9339981,-91.8440018,0,0,0,0
2013-06-01 00:19:29,43.9850006,-91.8789978,1087,67,0,1
2013-06-01 00:21:33,43.9879990,-91.8460007,1088,91,0,1
2013-06-01 00:44:34,44.0279999,-91.7220001,1095,39,0,1
2013-06-01 00:45:50,44.0299988,-91.7200012,0,0,0,0
2013-06-01 00:48:16,44.0299988,-91.7200012,0,0,0,0
2013-06-01 00:50:21,44.0299988,-91.7200012,0,0,0,0
2013-06-01 00:53:11,44.0299988,-91.7200012,0,0,0,0
2013-06-01 01:11:16,43.9570007,-92.1679993,0,0,0,0
2013-06-01 01:15:55,43.9570007,-92.1679993,0,0,0,0
2013-06-01 01:17:56,43.9570007,-92.1679993,0,0,0,0
2013-06-01 01:23:41,43.9519997,-92.0370026,0,0,0,0
2013-06-01 01:31:18,43.9360008,-91.8779984,0,0,0,0
2013-06-01 01:58:16,43.9889984,-92.3399963,0,0,0,0
2013-06-01 01:59:32,43.9889984,-92.3399963,0,0,0,0
2013-06-01 02:02:44,44.0000000,-92.3050003,1103,118,0,1
2013-06-01 02:11:47,44.0000000,-92.3050003,1094,0,0,1
2013-06-01 02:13:48,44.0000000,-92.3050003,1094,0,0,1
2013-06-01 02:15:49,44.0000000,-92.3050003,1094,0,0,1
2013-06-01 02:17:50,44.0000000,-92.3050003,1094,0,0,1
2013-06-01 02:19:51,44.0000000,-92.3050003,1094,0,0,1
2013-06-01 02:21:53,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:23:55,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:25:58,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:27:58,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:30:00,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:32:01,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:40:54,44.0000000,-92.3050003,1112,0,0,1
2013-06-01 02:42:55,43.9900017,-92.3960037,0,0,0,0
2013-06-01 02:44:56,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:46:57,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:48:58,43.9900017,-92.3960037,0,0,0,0
2013-06-01 02:50:59,43.9900017,-92.3960037,0,0,0,0
2013-06-01 02:53:00,43.9900017,-92.3960037,0,0,0,0
2013-06-01 02:55:02,43.9850006,-92.3939972,0,0,0,0
2013-06-01 02:57:02,43.9790001,-92.3919983,0,0,0,0
2013-06-01 02:59:03,43.9790001,-92.3919983,0,0,0,0
2013-06-01 03:01:07,43.9790001,-92.3919983,0,0,0,0
2013-06-01 03:03:08,43.9790001,-92.3919983,0,0,0,0
2013-06-01 03:04:51,43.9780006,-92.2829971,0,0,0,0
2013-06-01 03:05:09,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:07:10,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:09:11,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:11:12,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:13:13,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:15:14,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:17:15,43.9900017,-92.3960037,0,0,0,0
2013-06-01 03:20:01,43.9970016,-92.3550034,0,0,0,0
2013-06-01 03:22:03,43.9659996,-92.2310028,0,0,0,0
2013-06-01 03:22:32,43.9850006,-92.3939972,0,0,0,0
2013-06-01 03:30:07,43.9970016,-92.3550034,0,0,0,0
2013-06-01 03:46:24,44.0000000,-92.3050003,1140,0,0,1
2013-06-01 03:48:25,43.9570007,-92.1679993,0,0,0,0
2013-06-01 03:50:26,43.9799995,-92.3249969,0,0,0,0
2013-06-01 03:53:32,43.9790001,-92.3919983,0,0,0,0
2013-06-02 11:06:13,44.0349998,-92.4769974,0,0,0,0
2013-06-02 11:08:14,44.0349998,-92.4769974,760,0,0,1
2013-06-02 11:39:36,44.0349998,-92.4769974,0,0,0,0
2013-06-02 17:48:08,44.0349998,-92.4769974,881,48,0,1
2013-06-02 18:31:17,48.2455788,-102.2679672,0,-1,1,0
2013-06-02 19:15:43,48.2455788,-102.2679672,0,-1,1,0
2013-06-02 19:36:00,48.2455788,-102.2679672,0,-1,1,0
